model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
QWEN3_32B,4000,500,128,2.625,128,128,299.516,96.301,2.625,2.625,1309.926,1309.926,10.384,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,106.466,0.256,1.0,127.0,4127.0,4000,127.0,trtllm,0.20.0,h200_sxm,1309.926
QWEN3_32B,4000,500,112,2.562,112,112,296.663,86.178,2.562,2.562,1278.309,1278.309,11.604,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,97.674,0.224,1.0,111.0,4111.0,4000,111.0,trtllm,0.20.0,h200_sxm,1278.309
QWEN3_32B,4000,500,96,2.478,96,96,293.812,76.176,2.478,2.478,1236.525,1236.525,13.128,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,88.882,0.192,1.0,95.0,4095.0,4000,95.0,trtllm,0.20.0,h200_sxm,1236.525
QWEN3_32B,4000,500,96,2.478,96,96,299.564,76.152,2.478,2.478,1236.358,1236.358,13.132,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,88.898,0.188,2.0,94.0,4190.0,4096,94.0,trtllm,0.20.0,h200_sxm,1236.358
QWEN3_32B,4000,500,64,2.396,64,64,288.14,52.014,2.396,2.396,1195.412,1195.412,19.226,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,71.299,0.128,1.0,63.0,4063.0,4000,63.0,trtllm,0.20.0,h200_sxm,1195.412
QWEN3_32B,4000,500,56,2.382,56,56,299.542,46.401,2.382,2.382,1188.58,1188.58,21.551,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,66.575,0.219,1.0,55.0,2103.0,2048,55.0,trtllm,0.20.0,h200_sxm,1188.58
QWEN3_32B,4000,500,48,2.297,48,48,296.86,41.148,2.297,2.297,1146.266,1146.266,24.303,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,62.179,0.188,1.0,47.0,2095.0,2048,47.0,trtllm,0.20.0,h200_sxm,1146.266
QWEN3_32B,4000,500,40,2.133,40,40,294.178,36.838,2.133,2.133,1064.54,1064.54,27.146,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,57.783,0.156,1.0,39.0,2087.0,2048,39.0,trtllm,0.20.0,h200_sxm,1064.54
QWEN3_32B,4000,500,40,2.088,40,40,284.117,36.826,2.088,2.088,1042.026,1042.026,27.155,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,58.111,0.08,1.0,39.0,4039.0,4000,39.0,trtllm,0.20.0,h200_sxm,1042.026
QWEN3_32B,4000,500,64,4.134,64,64,292.285,30.264,4.134,2.067,2063.083,1031.542,33.042,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,38.479,0.143,1.0,63.0,3647.0,3584,63.0,trtllm,0.20.0,h200_sxm,1031.542
