model,isl,osl,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,tokens/s/gpu_cluster
QWEN3_32B,4000,500,248,16.25,1,1,5,124,124,2,276.943,27.719,16.25,2.321,8124.75,1160.679,36.077,3.611,8.965,7,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,103.644,trtllm,0.20.0,h200_sxm,1015.5941250000001
QWEN3_32B,4000,500,112,13.0,1,1,4,112,112,1,276.943,15.842,13.0,2.167,6499.8,1083.3,63.123,3.611,14.168,6,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,51.369,trtllm,0.20.0,h200_sxm,812.4749999999999
QWEN3_32B,4000,500,108,12.697,1,1,4,108,108,1,276.943,15.682,12.697,2.116,6348.46,1058.077,63.766,3.611,13.801,6,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,50.27,trtllm,0.20.0,h200_sxm,793.5577499999999
QWEN3_32B,4000,500,104,12.353,1,1,4,104,104,1,276.943,15.522,12.353,2.059,6176.42,1029.403,64.423,3.611,13.427,6,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,49.172,trtllm,0.20.0,h200_sxm,772.05225
QWEN3_32B,4000,500,100,11.977,1,1,4,100,100,1,276.943,15.393,11.977,1.996,5988.74,998.123,64.966,3.611,13.019,6,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,48.073,trtllm,0.20.0,h200_sxm,748.59225
QWEN3_32B,4000,500,64,9.75,1,1,3,64,64,1,276.943,11.572,9.75,1.95,4874.85,974.97,86.414,3.611,11.083,5,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,38.185,trtllm,0.20.0,h200_sxm,609.35625
QWEN3_32B,4000,500,60,9.697,1,1,3,60,60,1,276.943,11.408,9.697,1.939,4848.4,969.68,87.657,3.611,10.54,5,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,37.087,trtllm,0.20.0,h200_sxm,606.05
QWEN3_32B,4000,500,56,9.183,1,1,3,56,56,1,276.943,11.244,9.183,1.837,4591.26,918.252,88.936,3.611,9.981,5,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,35.988,trtllm,0.20.0,h200_sxm,573.9075
QWEN3_32B,4000,500,52,8.653,1,1,3,52,52,1,276.943,11.08,8.653,1.731,4326.3,865.26,90.253,3.611,9.405,5,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,34.889,trtllm,0.20.0,h200_sxm,540.7875
QWEN3_32B,4000,500,64,13.0,1,1,4,64,64,1,276.943,8.804,13.0,1.625,6499.8,812.475,113.586,3.611,14.568,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.817,trtllm,0.20.0,h200_sxm,812.475
QWEN3_32B,4000,500,60,12.92,1,1,4,60,60,1,276.943,8.562,12.92,1.615,6459.78,807.473,116.795,3.611,14.043,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.268,trtllm,0.20.0,h200_sxm,807.473
QWEN3_32B,4000,500,56,12.409,1,1,4,56,56,1,276.943,8.32,12.409,1.551,6204.48,775.56,120.19,3.611,13.488,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.718,trtllm,0.20.0,h200_sxm,775.56
QWEN3_32B,4000,500,52,11.868,1,1,4,52,52,1,276.943,8.078,11.868,1.484,5934.0,741.75,123.788,3.611,12.9,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.169,trtllm,0.20.0,h200_sxm,741.75
QWEN3_32B,4000,500,48,11.228,1,1,4,48,48,1,276.943,7.882,11.228,1.403,5613.84,701.73,126.869,3.611,12.204,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.62,trtllm,0.20.0,h200_sxm,701.73
QWEN3_32B,4000,500,44,9.75,1,1,3,44,44,1,276.943,7.834,9.75,1.393,4874.85,696.407,127.643,3.611,11.255,7,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.07,trtllm,0.20.0,h200_sxm,609.356125
QWEN3_32B,4000,500,40,9.471,1,1,3,40,40,1,276.943,7.787,9.471,1.353,4735.7,676.529,128.427,3.611,10.295,7,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.62,trtllm,0.20.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,18.521,trtllm,0.20.0,h200_sxm,591.9628749999999
